horizon,mse,rmse,mae,mape,mdape,smape,coverage
44 days,822.9826761961297,28.68767463905239,22.575296751899526,0.030183634484087944,0.026415367499433396,0.030180775068253167,0.7777777777777778
45 days,886.3250631108754,29.771211985924847,23.89383907294848,0.03196423692998728,0.02865578593912613,0.032039029643166066,0.7222222222222222
46 days,912.4763808657964,30.20722398476557,24.993734175504862,0.03358007021192624,0.030881769659830735,0.03368299811166468,0.7222222222222222
47 days,973.5438684545386,31.201664514165564,26.834542609376008,0.03589549808741415,0.031319499071986535,0.0360477657861065,0.7222222222222222
48 days,753.0929769641084,27.44253955019667,23.788147843959905,0.03131846553399859,0.030881769659830735,0.03170475255302767,0.7777777777777778
49 days,876.7915039162895,29.61066537442699,25.997580060014734,0.03397550651429248,0.031319499071986535,0.03446772872345259,0.7222222222222222
50 days,848.6068635294492,29.130857583144532,25.184864800168732,0.03273282639363162,0.030881769659830735,0.033260535061836224,0.7222222222222222
51 days,1040.8077087489598,32.261551555202054,27.031570101046377,0.03440292903348671,0.030881769659830735,0.035221632558579435,0.7222222222222222
52 days,1051.3994306077861,32.42528998494518,27.534227784475508,0.03520476130389159,0.030881769659830735,0.036011687234161247,0.7222222222222222
53 days,1007.0188247305209,31.733559912662194,27.132115467228726,0.035460956106175015,0.030881769659830735,0.03628638370285382,0.7222222222222222
54 days,983.2321360551523,31.356532589799407,26.145714883020723,0.03423274789338687,0.030881769659830735,0.0350386887934171,0.7222222222222222
55 days,992.0300221127741,31.496508093958195,26.450534580379724,0.03468555528688766,0.030881769659830735,0.03548245024325166,0.7222222222222222
56 days,965.3481412992925,31.070052161193622,25.681785409675253,0.033758051296486534,0.028641351220138,0.03452317624211651,0.7222222222222222
57 days,866.4260162933508,29.435115360625833,23.813542723846233,0.031077141525400427,0.02524463290701253,0.031731661727012556,0.7777777777777778
58 days,835.9620478124399,28.913008280226393,23.099799823379342,0.02998585924666178,0.023221410396667242,0.030607489686494366,0.7777777777777778
59 days,849.2396938424602,29.14171741408629,23.574431976174765,0.03057999175386744,0.02359248804901616,0.031212147678969872,0.7777777777777778
60 days,869.5602435157848,29.488306894696155,24.248351936242855,0.03174908461411599,0.02524463290701253,0.03235652318583877,0.7777777777777778
61 days,830.9278331718486,28.825818863856213,23.090704257509906,0.03047278840686911,0.02359248804901616,0.031050987139120276,0.7777777777777778
62 days,1035.7857859267997,32.18362605311589,25.463352518587143,0.03355882426990857,0.02359248804901616,0.034311006445872164,0.7222222222222222
63 days,1126.6384954976031,33.565436024243795,26.47334979966345,0.034492953311006325,0.02359248804901616,0.03530155018305656,0.7222222222222222
64 days,1107.3391462353195,33.27670575996547,25.889750398361855,0.033466774538595,0.02245266092123232,0.03425213066392055,0.7222222222222222
65 days,1046.5237367198513,32.350019114675206,24.166183574197678,0.03130811956550455,0.020854811170516394,0.032044361483223996,0.7222222222222222
66 days,1043.8400103085437,32.30851296962681,23.975908602645372,0.030996336944795026,0.020854811170516394,0.031738104753939816,0.7222222222222222
67 days,928.6385878248537,30.47357195710496,22.137582493786095,0.02886187383232003,0.020453087142513676,0.029514310178457476,0.7777777777777778
68 days,993.1707868694068,31.51461227540975,23.55427737082146,0.03089798193128207,0.021679859240880686,0.03148323968605577,0.7777777777777778
69 days,733.2635946326961,27.07884034874271,20.072079916923787,0.026640512781092984,0.020453087142513676,0.027014373753575002,0.8333333333333334
70 days,833.9617090234959,28.878395194738506,21.74428106795267,0.028573516097102285,0.020453087142513676,0.02887340154059166,0.7777777777777778
71 days,694.8640269375959,26.360273650658407,19.571703284263176,0.025520168934795254,0.017749643294500145,0.025682626664415623,0.8333333333333334
72 days,726.291440740115,26.949794818144998,20.72815912124014,0.026842534244268107,0.020453087142513676,0.027027127329030967,0.8333333333333334
73 days,715.0216456639931,26.73988866214654,20.307208153209167,0.026264128528292505,0.017749643294500145,0.026459640371678098,0.8333333333333334
74 days,830.2588938077317,28.81421339908018,22.32326518058788,0.029086428674982692,0.020453087142513676,0.029407506067461057,0.7777777777777778
75 days,907.1100873881362,30.11826833315847,23.921414659713125,0.03132137874901766,0.0220509368932296,0.031571248513097866,0.7222222222222222
76 days,978.518277376293,31.281276786222985,25.249972315307225,0.0334081001502235,0.025610636511599432,0.03355883819454463,0.6666666666666666
77 days,969.8741057405233,31.142801828681428,24.9763619239852,0.03310466934803587,0.024837834831247796,0.03324921688741235,0.6666666666666666
78 days,1010.743873571409,31.792198312973092,25.712343222320257,0.03370726028799796,0.024837834831247796,0.0339320538802447,0.6666666666666666
79 days,1189.5780803986736,34.490260660056975,28.53537230896828,0.03724668415952729,0.03563849610960233,0.03762224658167965,0.6111111111111112
