horizon,mse,rmse,mae,mape,mdape,smape,coverage
72 days,1859.2916357554438,43.1195041223278,38.69381463090781,0.051434986591510856,0.04555894660715404,0.04991543943318205,0.5555555555555556
73 days,1860.7633281437868,43.136566021691934,38.70812050160985,0.05155568407183148,0.04555894660715404,0.050027692444272485,0.5555555555555556
74 days,1749.0338060227286,41.82145150545027,36.44748667479216,0.04855404857259989,0.039411693470307645,0.047124408773656506,0.6111111111111112
75 days,2000.729724180698,44.729517370308145,38.45061155613762,0.05147942628883457,0.039411693470307645,0.04981684832817208,0.6111111111111112
76 days,2351.3823205779427,48.49105402626285,41.861306109001106,0.05668312489763098,0.04555894660715404,0.0546579253711847,0.5555555555555556
77 days,2386.021252049029,48.846916505026485,42.58660755389789,0.057677734061127056,0.04555894660715404,0.055622764184787635,0.5555555555555556
78 days,2207.445703630676,46.983462022616806,39.937370940584444,0.05351678636941633,0.040935309191425504,0.051659997932150155,0.6111111111111112
79 days,2114.4409925611253,45.983051144537214,38.248617991386226,0.0512805928141378,0.03806844509768191,0.04951467710582915,0.6666666666666666
80 days,2231.565528678277,47.239448860864975,39.701559101588195,0.05369519596879321,0.040935309191425504,0.05173332812342261,0.6111111111111112
81 days,2225.9560379051345,47.180038553451126,39.50943198925608,0.053600497971895276,0.040935309191425504,0.05161822571675302,0.6111111111111112
82 days,2317.784962913193,48.14337922199887,40.73251983790365,0.0554538580635274,0.04555894660715404,0.053387084481083084,0.5555555555555556
83 days,2367.792079346601,48.65996382393436,41.32923171336259,0.05641879357320445,0.05312055801514877,0.05429883559180324,0.5
84 days,2318.8786050875538,48.154736060823275,40.31713011948375,0.05513683545124251,0.05177730964252304,0.053055355598540514,0.5
85 days,2322.7538544586664,48.19495673261536,40.39377249635934,0.05483717989573687,0.05177730964252304,0.05276525928930186,0.5
86 days,2462.5685631365277,49.624273930572805,41.24043133766908,0.05566237690819958,0.05177730964252304,0.05350709223536334,0.5
87 days,2343.9984774176855,48.414858023314345,38.74280193801701,0.052176031359699095,0.03806844509768191,0.05013246915054131,0.5555555555555556
88 days,1944.0720723178383,44.09163267920387,34.55328948228179,0.04698365153295555,0.0332673087910194,0.04523976617934466,0.6111111111111112
89 days,2201.6219269486205,46.92144421209369,37.064208898394156,0.05120099363089422,0.03479092451213725,0.049160947933969405,0.5555555555555556
90 days,2264.130556573935,47.58288091923328,38.202530260870574,0.05295441167820135,0.04576117316135787,0.050852760386957845,0.5
91 days,2178.601579278198,46.675492276763386,37.19658979058059,0.05121085651361422,0.04157889724082087,0.049208011908426386,0.5555555555555556
92 days,2296.2529559178674,47.919233674150796,39.52209711230345,0.05421438923215975,0.047748009583378964,0.05211308372701049,0.5
93 days,2191.328415579102,46.81162692728274,38.81807307212151,0.05331866058167259,0.047748009583378964,0.05130305474496785,0.5
